Make,Model,Year,Transmission Type,Color,Type,Location,Price
Lexus,RX 350 AWD,2015,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 26,500,000"
Lexus,RX 350,2017,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 76,500,000"
Lexus,LX,2018,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 127,000,000"
Toyota,RAV4,2010,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 13,800,000"
Mercedes-Benz,GLE-Class,2021,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 175,000,000"
Toyota,Venza AWD,2010,Automatic,Silver,Foreign Used,"Abuja, Kubwa","₦ 17,500,000"
Lexus,RX 350,2009,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 14,000,000"
Honda,CR-V,2013,Automatic,Gray,Local Used,"Lagos, Ogba","₦ 7,980,000"
Toyota,Venza,2013,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 23,000,000"
Lexus,ES 350,2012,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 14,500,000"
Lexus,LC 2018,Off,Automatic,white,Foreign Used,"Lagos, Amuwo-Odofin","₦ 24,500,000"
Lexus,RX 330 AWD,2006,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 11,500,000"
Hyundai,Santa Fe Sport,2013,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 16,500,000"
Toyota,Camry,2011,Automatic,Green,Local Used,"Abuja, Kubwa","₦ 8,450,000"
Lexus,RX 350 F Sport AWD,2014,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 28,700,000"
Lexus,RX 350 FWD,2013,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 28,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,Brown,Foreign Used,"Lagos, Amuwo-Odofin","₦ 22,000,000"
Lexus,ES,2012,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 14,800,000"
Mercedes-Benz,GLK-Class,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 26,000,000"
Lexus,ES,2005,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 7,500,000"
Peugeot,RC,2012,Manual,White,Foreign Used,"Lagos, Ikeja","₦ 12,000,000"
Lexus,ES 350 FWD,2016,Automatic,Gray,Foreign Used,"Abuja, Garki 2","₦ 36,000,000"
Mercedes-Benz,GLA 250,2015,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 31,500,000"
Lexus,RX,2017,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 52,000,000"
Toyota,Highlander XLE,2019,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 42,500,000"
Lexus,RX 350 AWD,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 26,000,000"
Toyota,Camry,2005,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 7,500,000"
Lincoln,MKZ,2016,Automatic,Black,Foreign Used,"Lagos, Magodo","₦ 25,000,000"
Toyota,Camry,2008,Automatic,Gold,Foreign Used,"Lagos, Ikeja","₦ 9,200,000"
Toyota,Sequoia,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 18,500,000"
Mercedes-Benz,GLC-Class,2017,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 44,000,000"
Lexus,RX 330 AWD,2006,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 11,500,000"
Toyota,Tacoma,2009,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 16,000,000"
Lexus,RX,2017,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 52,000,000"
Lexus,RX,2017,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 48,000,000"
Land,Rover Range Rover Velar,2018,Automatic,White,Foreign Used,"Lagos, Magodo","₦ 64,000,000"
Lexus,ES 350,2007,Automatic,Silver,Local Used,"Lagos, Ikorodu","₦ 8,500,000"
Lexus,RX 350,2008,Automatic,Beige,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,500,000"
Lexus,ES 350 FWD,2014,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 18,000,000"
Lexus,RX 350,2015,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 28,000,000"
Lexus,RX 350,2014,Automatic,Gray,Foreign Used,"Lagos, Ojota","₦ 28,800,000"
Mercedes-Benz,GLE-Class AMG GLE 53 4MATIC,2021,Automatic,Red,Foreign Used,"Lagos, Ikoyi","₦ 170,000,000"
Toyota,RAV4,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 14,500,000"
Kia,Optima,2011,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 12,200,000"
Mercedes-Benz,C300,2016,Automatic,White,Foreign Used,"Lagos, Surulere","₦ 29,000,000"
Toyota,Tacoma,2015,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 18,800,000"
Lexus,RX 350,2008,Automatic,Red,Local Used,"Lagos, Ikeja","₦ 8,500,000"
Mercedes-Benz,GLA 250,2015,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 31,500,000"
Lexus,RX 350 AWD,2015,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 26,500,000"
Honda,Pilot,2012,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 15,500,000"
Land,Rover Range Rover Velar,2018,Automatic,White,Foreign Used,"Lagos, Magodo","₦ 64,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,Black,Foreign Used,"Abuja, Central Business District","₦ 24,500,000"
Toyota,Sequoia,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 18,200,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 22,500,000"
Lexus,GX,2013,Automatic,Silver,Foreign Used,"Lagos, Ikeja","₦ 38,000,000"
Toyota,Tacoma,2020,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 37,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 22,000,000"
Toyota,Highlander,2018,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 37,500,000"
Mercedes-Benz,GLE-Class,2021,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 175,000,000"
Mercedes-Benz,C300,2016,Automatic,White,Foreign Used,"Lagos, Surulere","₦ 29,000,000"
Toyota,RAV4,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 19,500,000"
Toyota,Sequoia,2013,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 21,500,000"
Toyota,Tacoma,2013,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 21,500,000"
Lexus,RX 350 F Sport AWD,2014,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 28,500,000"
Mercedes-Benz,GLA-Class,2018,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 29,000,000"
Toyota,Corolla,2013,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 12,000,000"
Toyota,Camry,2008,Automatic,Gold,Foreign Used,"Lagos, Ikeja","₦ 9,200,000"
Toyota,Corolla,2016,Automatic,Silver,Foreign Used,"Oyo, Ibadan","₦ 13,500,000"
Toyota,Highlander Limited 3.5l 4WD,2013,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 20,600,000"
Lexus,ES 350,2010,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 14,500,000"
Mercedes-Benz,GLK-Class,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 26,000,000"
Lexus,ES 350,2011,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 14,000,000"
Lexus,RX 350,2014,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 24,500,000"
Land,Rover Range Rover Evoque Coupe Pure,2012,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 19,200,000"
Toyota,Camry,2014,Automatic,White,Foreign Used,"Abuja, Jahi","₦ 13,500,000"
Mercedes-Benz,GLK-Class,2014,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 20,000,000"
Toyota,Highlander Limited 3.5l 4WD,2013,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 19,500,000"
Lexus,RX 350 AWD,2013,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 21,150,000"
Lexus,RX 350 AWD,2008,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 12,800,080"
Lexus,GX,2013,Automatic,Silver,Foreign Used,"Lagos, Ikeja","₦ 38,000,000"
Lexus,ES 350,2011,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 12,500,000"
Toyota,Tundra,2019,Automatic,Gray,Foreign Used,"Abuja, Central Business District","₦ 68,000,000"
Lexus,GX 460 Base,2017,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 54,000,000"
Lexus,RX 350 AWD,2014,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 27,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2012,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 18,000,000"
Toyota,Tacoma,2015,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 26,500,000"
Toyota,Land Cruiser Prado,2013,Automatic,Black,Local Used,"Lagos, Ogba","₦ 79,500,000"
Toyota,Tundra,2015,Automatic,Gray,Foreign Used,"Lagos, Ojodu","₦ 43,000,000"
Honda,Accord,2007,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 7,800,000"
Ford,Edge,2020,Automatic,Silver,Foreign Used,"Lagos, Magodo","₦ 27,500,000"
Hyundai,Elantra,2010,Automatic,Silver,Foreign Used,"Abuja, Central Business District","₦ 7,500,000"
Lexus,RX,2017,Automatic,Gray,Foreign Used,"Lagos, Surulere","₦ 48,000,000"
Toyota,Sequoia,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 18,200,000"
Toyota,Highlander XLE,2019,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 42,500,000"
Lexus,ES 350,2008,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 11,000,000"
Toyota,RAV4,2017,Automatic,Brown,Foreign Used,"Lagos, Apapa","₦ 28,500,000"
Toyota,Camry,2008,Automatic,Gray,Local Used,"Lagos, Ikeja","₦ 7,450,000"
Lexus,ES 350 FWD,2016,Automatic,Silver,Foreign Used,"Lagos, Ikoyi","₦ 56,000,000"
Toyota,RAV4 Limited,2011,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 14,500,000"
Lexus,RX 350,2011,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 20,000,000"
Lexus,ES 350,2008,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 11,500,000"
Lexus,LX 570 AWD,2015,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 51,500,000"
Toyota,Sequoia,2012,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 21,500,000"
Hyundai,Santa Fe,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 19,000,000"
Land,Rover Range Rover Evoque R-Dynamic HSE,2021,Automatic,Silver,Foreign Used,"Lagos, Alimosho","₦ 61,000,000"
Mercedes-Benz,M Class ML 350 4Matic,2007,AMT,Silver,Local Used,"Abuja, Kaura","₦ 7,100,000"
Toyota,RAV4 XLE,2021,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 47,000,000"
Lexus,ES 350,2008,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 11,500,000"
Toyota,Sequoia,2012,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 21,500,000"
Mercedes-Benz,GLC-Class,2017,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 42,800,000"
Lexus,RX 350 AWD,2017,Automatic,Black,Foreign Used,"Lagos, Agboyi/Ketu","₦ 68,500,000"
Honda,Crosstour,2011,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 10,800,000"
Toyota,Camry,2014,Automatic,White,Foreign Used,"Abuja, Jahi","₦ 13,500,000"
Toyota,Camry,2009,Automatic,Black,Local Used,"Lagos, Surulere","₦ 6,700,000"
Lexus,RX 350 F Sport AWD,2014,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 28,700,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2011,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 15,500,000"
Lexus,GX 470,2008,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 15,550,000"
Toyota,Venza AWD,2011,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 20,500,000"
Honda,CR-V,2008,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 11,800,000"
Land,Rover Range Rover Evoque R-Dynamic HSE,2021,Automatic,Silver,Foreign Used,"Lagos, Alimosho","₦ 61,000,000"
Toyota,Camry,2014,Automatic,White,Foreign Used,"Abuja, Jahi","₦ 13,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 25,000,000"
Lexus,RX 350 FWD,2015,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 26,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 21,000,000"
Mercedes-Benz,GLK-Class,2015,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 19,500,000"
Lexus,RX 350 AWD,2008,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 12,800,080"
Toyota,Highlander,2008,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 16,500,000"
Toyota,Sienna,2008,Automatic,Gray,Foreign Used,"Lagos, Ikeja","₦ 8,750,000"
Mazda,CX-9,2008,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 10,800,000"
Lexus,RX 350 FWD,2013,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 25,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 19,000,000"
Lexus,RX 350 AWD,2017,Automatic,Brown,Foreign Used,"Lagos, Apapa","₦ 49,000,000"
Lexus,ES 350,2009,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 12,500,000"
Lexus,RX 350,2007,Automatic,Gold,Foreign Used,"Lagos, Ojodu","₦ 12,500,000"
Toyota,Corolla,2017,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 16,500,000"
Toyota,RAV4,2015,Automatic,Silver,Foreign Used,"Lagos, Magodo","₦ 19,500,000"
Lexus,IS 350,2008,Automatic,Black,Local Used,"Lagos, Abule Egba","₦ 10,700,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2011,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 16,000,000"
Toyota,Tacoma,2013,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 19,850,000"
Land,Rover Range Rover Velar P380 HSE R-Dynamic 4x4,2018,AMT,Black,Foreign Used,"Lagos, Lekki","₦ 72,000,000"
Lexus,ES 350,2011,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 13,000,000"
Lexus,ES,2013,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 21,500,000"
Land,Rover Range Rover Sport,2015,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 37,000,000"
Hyundai,Santa Fe Sport 2.0T,2013,Automatic,Black,Local Used,"Abuja, Central Business District","₦ 13,000,000"
Lexus,ES 350,2007,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 11,500,000"
Lexus,RX 350 AWD,2013,Automatic,Gray,Foreign Used,"Lagos, Ikeja","₦ 25,700,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 23,500,000"
Lexus,ES 350,2009,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 11,500,000"
Lexus,RX 350,2013,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 21,000,000"
Toyota,RAV4 Automatic,2003,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 7,600,000"
Toyota,Highlander Limited 3.5L 2WD,2013,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 16,000,000"
Lexus,IS 350,2008,Automatic,Black,Local Used,"Lagos, Abule Egba","₦ 10,700,000"
Lexus,IS 350,2009,Automatic,Black,Local Used,"Lagos, Ogba","₦ 9,500,000"
Toyota,RAV4 XLE AWD,2020,Automatic,Silver,Foreign Used,"Lagos, Ojodu","₦ 44,500,000"
Lexus,RX 350 AWD,2017,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 45,000,000"
Lexus,RX,2017,Automatic,Gray,Foreign Used,"Lagos, Surulere","₦ 48,000,000"
Lexus,GX 470,2007,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 14,550,000"
Toyota,Corolla,2013,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 12,800,000"
Land,Rover Range Rover 3.0L Supercharged,2017,Automatic,Gray,Foreign Used,"Lagos, Magodo","₦ 68,000,000"
Lexus,ES 350,2008,Automatic,Red,Local Used,"Ekiti, Ado Ekiti","₦ 7,700,000"
Mercedes-Benz,GLA 250,2021,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 72,000,000"
Lexus,RX 350,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 23,000,000"
Mercedes-Benz,GLC-Class,2016,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 40,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 24,500,000"
Toyota,Tacoma,2015,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 18,800,000"
Lexus,RX 350,2011,Automatic,Silver,Foreign Used,"Abuja, Central Business District","₦ 24,500,000"
Toyota,Sienna,2009,Automatic,Black,Local Used,"Lagos, Magodo","₦ 7,800,000"
Lexus,ES 350,2009,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 12,800,000"
Lexus,RX 350,2013,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 23,000,000"
Mercedes-Benz,GLA 250,2016,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 28,000,000"
Lexus,RX 350 AWD,2009,Automatic,Gold,Foreign Used,"Lagos, Apapa","₦ 14,800,000"
Mercedes-Benz,M Class,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 26,500,000"
Toyota,Camry,2010,Automatic,Green,Foreign Used,"Lagos, Apapa","₦ 12,200,000"
Toyota,Avalon,2016,Automatic,Black,Local Used,"Lagos, Ogba","₦ 15,050,000"
Toyota,Camry,2018,Automatic,Red,Foreign Used,"Abuja, Central Business District","₦ 39,900,000"
Toyota,Highlander,2015,Automatic,Black,Foreign Used,"Lagos, Agege","₦ 31,000,000"
Lexus,ES 350,2008,Automatic,White,Foreign Used,"Lagos, Ogba","₦ 15,500,000"
Lexus,ES 350,2008,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 11,000,000"
Toyota,Corolla,2020,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 23,000,000"
Toyota,Sienna,2017,Automatic,Red,Foreign Used,"Lagos, Amuwo-Odofin","₦ 35,000,000"
Toyota,Venza,2010,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 17,500,000"
Lexus,ES,2006,Automatic,Blue,Local Used,"Lagos, Ikeja","₦ 6,850,000"
Toyota,RAV4,2014,Automatic,Silver,Foreign Used,"Lagos, Ipaja","₦ 17,200,000"
Lexus,GX 470,2009,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 18,550,000"
Mercedes-Benz,GLA 250,2017,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 28,000,000"
Lexus,RX 350 AWD,2017,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 43,000,000"
Lexus,RX,2017,Automatic,Gray,Foreign Used,"Lagos, Surulere","₦ 48,000,000"
Lexus,LX 570 AWD,2013,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 55,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2012,Automatic,Blue,Foreign Used,"Abuja, Gwarinpa","₦ 16,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2010,Automatic,Silver,Foreign Used,"Lagos, Ikeja","₦ 16,800,000"
Lexus,RX 330,2005,Automatic,Gold,Foreign Used,"Lagos, Apapa","₦ 11,800,000"
Lexus,RX 350,2010,Automatic,Black,Foreign Used,"Lagos, Ogba","₦ 27,000,000"
Lexus,RX 350 AWD,2017,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 45,000,000"
Toyota,Sequoia,2011,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 21,500,000"
Lexus,RX 350 FWD,2014,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 26,000,000"
Lexus,ES 350,2009,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 11,500,000"
Mercedes-Benz,GLE-Class GLE 450 4MATIC,2021,Automatic,Gray,Foreign Used,"Lagos, Lekki","₦ 135,000,000"
Toyota,RAV4,2014,Automatic,Silver,Foreign Used,"Lagos, Ipaja","₦ 17,200,000"
Toyota,Coaster,2020,Manual,White,Foreign Used,"Lagos, Isolo","₦ 98,000,000"
Lexus,ES 350,2011,Automatic,Red,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,900,000"
Toyota,Corolla,2017,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 16,500,000"
Lexus,RX 350,2007,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 14,000,000"
Lexus,RX 350 AWD,2015,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 26,500,000"
Toyota,RAV4,2008,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 11,700,000"
Toyota,Sienna,2009,Automatic,Black,Local Used,"Lagos, Magodo","₦ 7,800,000"
Lexus,RX 350,2014,Automatic,Gray,Foreign Used,"Lagos, Gbagada","₦ 27,000,000"
Lexus,GX 470,2007,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 12,550,000"
Mercedes-Benz,M Class,2014,Automatic,Brown,Foreign Used,"Lagos, Amuwo-Odofin","₦ 28,000,000"
Lexus,RX 350,2008,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 14,900,000"
Toyota,Sequoia,2012,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 21,500,000"
Toyota,Camry,2016,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 17,500,000"
Land,Rover Range Rover,2014,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 42,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2010,Automatic,Silver,Foreign Used,"Lagos, Ikeja","₦ 16,800,000"
Lexus,RX,2017,Automatic,Gray,Foreign Used,"Lagos, Surulere","₦ 48,000,000"
Toyota,Tacoma,2009,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 16,000,000"
Lexus,GX 470,2007,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 15,200,000"
Toyota,Sequoia,2008,Automatic,Brown,Foreign Used,"Lagos, Maryland","₦ 23,000,000"
Lexus,RX 350 AWD,2014,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 27,500,000"
Toyota,Camry,2008,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 8,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2012,Automatic,Blue,Foreign Used,"Abuja, Gwarinpa","₦ 16,500,000"
Lexus,RX 350,2014,Automatic,Gray,Foreign Used,"Lagos, Gbagada","₦ 27,000,000"
Toyota,RAV4,2010,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 13,800,000"
Lexus,GX 460,2012,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 35,550,000"
Lexus,RX 350 AWD,2017,Automatic,Brown,Foreign Used,"Lagos, Apapa","₦ 49,000,000"
Lexus,ES 350,2007,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 11,500,000"
Mercedes-Benz,GLC-Class,2016,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 39,600,000"
Lexus,RX 330,2005,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 11,800,000"
Toyota,Sienna,2009,Automatic,Black,Local Used,"Lagos, Magodo","₦ 7,800,000"
Toyota,Camry,2008,Automatic,Black,Local Used,"Ekiti, Ado Ekiti","₦ 8,000,000"
Lexus,RX 350 AWD,2017,Automatic,Gray,Foreign Used,"Lagos, Magodo","₦ 44,500,000"
Toyota,RAV4,2010,Automatic,Brown,Foreign Used,"Lagos, Apapa","₦ 13,200,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 26,500,000"
Lexus,GX 460 Premium,2013,Automatic,White,Foreign Used,"Lagos, Ogba","₦ 40,500,000"
Mercedes-Benz,M Class,2012,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 24,000,000"
Toyota,Avalon,2016,Automatic,Gray,Local Used,"Abuja, Mabushi","₦ 19,500,000"
Toyota,Highlander,2014,Automatic,Black,Foreign Used,"Lagos, Agege","₦ 28,000,000"
Lexus,RX 350,2008,Automatic,Beige,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,500,000"
Lexus,ES,2014,Automatic,Silver,Foreign Used,"Lagos, Ikeja","₦ 20,500,000"
Lexus,ES 350,2009,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 11,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 23,500,000"
Lexus,RX,2006,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,500,000"
Toyota,Highlander,2015,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 28,500,000"
Land,Rover Range Rover Velar,2019,Automatic,White,Foreign Used,"Abuja, Mabushi","₦ 70,000,000"
Toyota,Camry,2008,Automatic,Black,Local Used,"Ekiti, Ado Ekiti","₦ 8,000,000"
Lexus,RX 350 AWD,2017,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 46,500,000"
Toyota,RAV4 Limited,2008,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 10,800,000"
Lexus,ES 350,2011,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 14,000,000"
Lexus,RX,2016,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 50,000,000"
Mercedes-Benz,GLK-Class,2015,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 24,000,000"
Toyota,Corolla,2020,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 19,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2010,Automatic,Silver,Foreign Used,"Lagos, Ikeja","₦ 16,800,000"
Dodge,Charger,2014,Automatic,Black,Foreign Used,"Abuja, Garki 2","₦ 22,800,000"
Lexus,RX,2017,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 52,000,000"
Lexus,RX 350,2011,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 22,100,000"
