Make,Model,Year,Transmission Type,Color,Type,Location,Price
Toyota,Highlander,Limited,Automatic,2012,Foreign Used,"Lagos, Apapa","₦ 17,000,000"
Lexus,ES 330,2005,Automatic,Silver,Foreign Used,"Lagos, Ojo","₦ 8,650,000"
Toyota,RAV4 3.5 Sport 4x4,2010,Automatic,Gray,Foreign Used,"Abuja, Central Business District","₦ 14,500,000"
Mercedes-Benz,GLE-Class GLE 350,2016,Automatic,Black,Foreign Used,"Lagos, Isolo","₦ 41,000,000"
Toyota,Highlander XLE,2022,Automatic,Black,Foreign Used,"Abuja, Jahi","₦ 55,000,000"
Mercedes-Benz,E300,2017,Automatic,Red,Foreign Used,"Lagos, Lekki","₦ 38,000,000"
Mercedes-Benz,GLE-Class,2016,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 40,000,000"
Toyota,Corolla,2011,Automatic,Gray,Foreign Used,"Lagos, Ogba","₦ 11,450,000"
Lexus,RX 330,2006,Automatic,Blue,Local Used,"Lagos, Yaba","₦ 6,900,000"
Lexus,RX,2010,Automatic,White,Foreign Used,"Lagos, Isolo","₦ 24,500,000"
Toyota,Highlander,2015,Automatic,Gold,Foreign Used,"Lagos, Apapa","₦ 36,000,000"
Toyota,Sienna,2008,Automatic,Silver,Foreign Used,"Lagos, Ikeja","₦ 10,700,000"
Toyota,Highlander Sport,2008,Automatic,Green,Foreign Used,"Lagos, Amuwo-Odofin","₦ 15,000,000"
Mercedes-Benz,M Class,2015,Automatic,Gray,Foreign Used,"Lagos, Ojodu","₦ 33,500,000"
Honda,Accord 2.4 i-VTEC Exec Automatic,2009,Inspected,Blue,Loan,"Rivers, Port-Harcourt","₦ 5,343,750"
Toyota,Yaris,2017,Automatic,Silver,Foreign Used,"Lagos, Alimosho","₦ 16,500,000"
Mercedes-Benz,C450,2016,Automatic,Red,Foreign Used,"Lagos, Amuwo-Odofin","₦ 40,000,000"
Toyota,Camry,2014,Automatic,Blue,Foreign Used,"Lagos, Lekki","₦ 15,200,000"
Lexus,RX,350,Automatic,2015,Foreign Used,"Lagos, Apapa","₦ 28,500,000"
Lexus,ES 350,2008,Automatic,White,Foreign Used,"Lagos, Ogba","₦ 12,300,000"
Lexus,RX 350 F Sport AWD,2016,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 60,000,000"
Lexus,GX 460 Base,2015,Automatic,Gray,Foreign Used,"Lagos, Ikeja","₦ 47,000,000"
